iter	Passed	Remaining
833	24640	4904
834	24668	4874
835	24696	4844
836	24724	4814
837	24753	4785
838	24780	4755
839	24808	4725
840	24837	4695
841	24866	4666
842	24894	4636
843	24924	4606
844	24952	4577
845	24979	4547
846	25007	4517
847	25036	4487
848	25063	4457
849	25091	4427
850	25119	4398
851	25147	4368
852	25176	4338
853	25205	4309
854	25232	4279
855	25263	4249
856	25292	4220
857	25321	4190
858	25349	4160
859	25376	4131
860	25404	4101
861	25432	4071
862	25459	4041
863	25488	4012
864	25516	3982
865	25546	3952
866	25574	3923
867	25602	3893
868	25629	3863
869	25657	3833
870	25686	3804
871	25713	3774
872	25741	3744
873	25770	3715
874	25798	3685
875	25826	3655
876	25855	3626
877	25883	3596
878	25910	3566
879	25939	3537
880	25968	3507
881	25997	3478
882	26026	3448
883	26055	3419
884	26084	3389
885	26111	3359
886	26137	3329
887	26168	3300
888	26202	3271
889	26234	3242
890	26268	3213
891	26298	3184
892	26329	3154
893	26360	3125
894	26390	3096
895	26420	3066
896	26451	3037
897	26483	3008
898	26515	2978
899	26547	2949
900	26577	2920
901	26606	2890
902	26642	2861
903	26690	2834
904	26729	2805
905	26771	2777
906	26799	2747
907	26831	2718
908	26863	2689
909	26892	2659
910	26921	2630
911	26952	2600
912	26981	2571
913	27012	2541
914	27042	2512
915	27072	2482
916	27101	2453
917	27131	2423
918	27162	2394
919	27191	2364
920	27220	2334
921	27247	2305
922	27278	2275
923	27307	2246
924	27336	2216
925	27364	2186
926	27397	2157
927	27429	2128
928	27460	2098
929	27491	2069
930	27518	2039
931	27547	2009
932	27576	1980
933	27605	1950
934	27634	1921
935	27662	1891
936	27693	1861
937	27722	1832
938	27752	1802
939	27783	1773
940	27813	1743
941	27843	1714
942	27874	1684
943	27907	1655
944	27938	1626
945	27968	1596
946	27999	1567
947	28028	1537
948	28058	1507
949	28089	1478
950	28121	1448
951	28151	1419
952	28180	1389
953	28211	1360
954	28243	1330
955	28273	1301
956	28303	1271
957	28333	1242
958	28364	1212
959	28393	1183
960	28425	1153
961	28453	1123
962	28483	1094
963	28513	1064
964	28544	1035
965	28574	1005
966	28603	976
967	28633	946
968	28663	916
969	28694	887
970	28722	857
971	28753	828
972	28783	798
973	28812	769
974	28844	739
975	28877	710
976	28906	680
977	28937	650
978	28967	621
979	28997	591
980	29026	562
981	29057	532
982	29089	503
983	29118	473
984	29147	443
985	29177	414
986	29206	384
987	29236	355
988	29265	325
989	29294	295
990	29326	266
991	29356	236
992	29386	207
993	29416	177
994	29446	147
995	29476	118
996	29506	88
997	29535	59
998	29566	29
999	29599	0
